"ShowID","ShowDate","ShowName","DeadBaseID","VenueID","TapeRank","GotIT","Quality","MyNotes","ShowNotes","ShowFirstLine"
1,"1972-01-02","01-02-72",0,602,0,1,5,"","only ""Your Love At Home"" - billing: GD; NRPS; Yogi Phlegm","01-02-72 Winterland Arena/, San Francisco/, Ca. (Sun)"
2,"1977-05-08","05-08-77",985,1,1,1,3,"","General Admission: $7.50","05-08-77 Barton Hall/, Cornell University/, Ithaca/, N.Y. (Sun)"
3,"1972-08-27","08-27-72",769,2,2,1,-1,"","Springfield Creamery benefit - ""Field Trip"" - also: NRPS","08-27-72 Old Renaissance Faire Grounds/, Veneta/, Or. (Sun)"
4,"1970-02-13","02-13-70b",525,3,3,0,-1,"*appears on Bear's Choice **appears on Dick's Picks Vol 411:30 show - first Wake Up Little Susie - Bear's Choice shows - billing: GD; Allman Brothers Band; Love","*appears on ""Bear's Choice"" **appears on ""Dick's Picks Vol 4""11:30 show - first ""Wake Up Little Susie"" - Bear's Choice shows - billing: GD; Allman Brothers Band; Love","02-13-70b Fillmore East/, New York/, N.Y. (Fri)"
5,"1970-05-02","05-02-70",556,4,4,1,-1,"I Own this on CD","*appears on ""Dick's Picks Vol 8"" **also with members of NRPSalso: NRPS","05-02-70 Harpur College/, S.U.N.Y./, Binghamton/, N.Y. (Sat)"
6,"1990-03-29","03-29-90",1911,5,5,1,-1,"*with Branford Marsalis Eyes appears on Without A Net","*with Branford Marsalis ""Eyes"" appears on ""Without A Net""","03-29-90 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Thu)"
7,"1989-10-09","10-09-89",1876,6,6,1,-1,"","""Stranger"" appears on ""Without A Net"" - last ""Dark Star"": 07-13-84 [359] - last ""Attics"": 10-28-72 [1082] - Show billed as ""Formerly The Warlocks""","10-09-89 Hampton Coliseum/, Hampton/, Va. (Mon)"
8,"1969-03-01","03-01-69",384,7,7,1,-1,"","billing: GD; Pentangle; Sir Douglas Quintet","03-01-69 Fillmore West/, San Francisco/, Ca. (Sat)"
9,"1978-12-31","12-31-78",1107,602,8,0,-1,"Grateful Dead - Closing of Winterland CD","*with Matt Kelly **with Lee Oskar, Greg Errico, Kesey, etc. ***with John CipollinaFM broadcast KSAN-San Francisco - TV broadcast KQED-San Francisco - Bill Graham flies in on a joint - Blues Brothers, then NRPS opened - ""Breakfast served at dawn"" - last ""Sunshine Daydream"": 07-13-76 [160] - ""Other One"" is first verse only - ""Dark Star"" is first verse only - last ""Dark Star"": 10-18-74 [187] - last ""We Bid You Goodnight"": 12-31-76 [140]","12-31-78 Winterland Arena/, San Francisco/, Ca. (Sun)"
10,"1971-04-29","04-29-71",681,3,9,1,-1,"","""Me & My Uncle"" appears on ""Skull Fuck"" - final ""Alligator"" - final ""Second That Emotion"" - last Fillmore East show - also: NRPS - Orchestra $4.50","04-29-71 Fillmore East/, New York/, N.Y. (Thu)"
11,"1991-09-10","09-10-91",2026,8,10,1,-1,"","with Branford Marsalis","09-10-91 Madison Square Garden/, New York/, N.Y. (Tue)"
