1,Barton Hall - Cornell University,Ithaca,34,1
2,Old Renaissance Faire Grounds,Veneta,39,1
3,Fillmore East,New York,34,1
4,Harpur College - S.U.N.Y.,Binghamton,34,1
5,Nassau Veterans Memorial Coliseum,Uniondale,34,1
6,Hampton Coliseum,Hampton,48,1
7,Fillmore West,San Francisco,6,1
8,Madison Square Garden,New York,34,1
9,War Memorial Auditorium,Buffalo,34,1
10,Red Rocks Amphitheatre,Morrison,7,1
11,Meadowlands Arena,East Rutherford,32,1
12,Boston Garden,Boston,23,1
13,Kezar Stadium,San Francisco,6,1
14,Broome County Arena,Binghamton,34,1
15,Capitol Theater,Port Chester,34,1
16,Robert F. Kennedy Stadium,Washington,10,1
17,Rotterdam Civic Hall,Rotterdam,0,13
18,Dane County Coliseum,Madison,51,1
19,Swing Auditorium,San Bernardino,6,1
20,Cape Cod Coliseum,South Yarmouth,23,1
21,Roscoe Maples Pavilion - Stanford U.,Palo Alto,6,1
22,Portland Memorial Coliseum,Portland,39,1
23,Freedom Hall,Louisville,19,1
24,Oakland Coliseum Arena,Oakland,6,1
25,Charlotte Coliseum,Charlotte,35,1
26,The Strand Lyceum,London,0,5
27,Richmond Coliseum,Richmond,48,1
28,Great American Music Hall,San Francisco,6,1
29,Greek Theatre - U. of California,Berkeley,6,1
30,Knickerbocker Arena,Albany,34,1
31,Carousel Ballroom,San Francisco,6,1
32,Hershey Park Stadium,Hershey,40,1
33,Harding Theater,San Francisco,6,1
34,Fillmore Auditorium,San Francisco,6,1
35,Providence Civic Center,Providence,41,1
36,The Spectrum,Philadelphia,40,1
37,The Matrix,San Francisco,6,1
38,Merriweather Post Pavilion,Columbia,22,1
39,Sam Boyd Silver Bowl - U.N.L.V.,Las Vegas,30,1
40,Soldier Field,Chicago,15,1
41,Orpheum Theatre,San Francisco,6,1
42,Paramount Theater,Portland,39,1
43,Shoreline Amphitheatre,Mountain View,6,1
44,Dean Smith Center - UNC,Chapel Hill,35,1
45,Dillon Gym - Princeton University,Princeton,32,1
46,Pauley Pavilion - U.C.L.A.,Los Angeles,6,1
47,Boston Music Hall,Boston,23,1
48,Fox Theatre,Atlanta,12,1
49,Raceway Park,Englishtown,32,1
50,Radio City Music Hall,New York,34,1
51,Frost Amphitheatre - Stanford U.,Palo Alto,6,1
52,Autzen Stadium - U. of Oregon,Eugene,39,1
53,Dream Bowl,Napa,6,1
54,The Ark,Boston,23,1
55,Oakland Auditorium Arena,Oakland,6,1
56,Giants Stadium,East Rutherford,32,1
57,Betty Nelson's Organic Raspberry Farm,Sultan,49,1
58,Kresge Plaza - M.I.T.,Cambridge,23,1
59,Veterans Memorial Coliseum,New Haven,8,1
60,Capitol Theatre,Passaic,32,1
61,Stanley Theatre,Pittsburgh,40,1
62,State Fairgrounds,Lewiston,21,1
63,Melk Weg,Amsterdam,0,13
64,Alpine Valley Music Theatre,East Troy,51,1
65,Cal Expo Amphitheatre,Sacramento,6,1
66,Deer Creek Music Center,Noblesville,16,1
67,State Fairgrounds,Des Moines,17,1
68,Jai-Alai Fronton,Miami,11,1
69,Roosevelt Stadium,Jersey City,32,1
70,Oakland Coliseum Stadium,Oakland,6,1
71,Cow Palace,Daly City,6,1
72,Evans Field House - Northern Illinois U.,DeKalb,15,1
73,McArthur Court - University of Oregon,Eugene,39,1
74,River Bend Music Center,Cincinnati,37,1
75,Copps Coliseum,Hamilton,53,2
76,Greensboro Coliseum,Greensboro,35,1
77,Sandstone Amphitheatre,Bonner Springs,18,1
78,The Pyramid,Memphis,44,1
79,Three Rivers Stadium,Pittsburgh,40,1
80,Monterey Peninsula College,Monterey,6,1
81,Tivoli Concert Hall,Copenhagen,0,3
82,Curtis Hixon Convention Hall,Tampa,11,1
83,Selland Arena,Fresno,6,1
84,Lindley Meadows - Golden Gate Pk,San Francisco,6,1
85,Sportatorium,Pembroke Pines,11,1
86,Grugahalle,Essen,0,14
87,Fieldhouse - University of Iowa,Iowa City,17,1
88,Saratoga Performing Arts Center,Saratoga,34,1
89,Starlight Theatre,Kansas City,27,1
90,Oxford Plains Speedway,Oxford,21,1
91,Miami Arena,Miami,11,1
92,Rich Stadium,Orchard Park,34,1
93,Zenith,Paris,0,6
94,Wembley Arena,London,0,5
95,The Omni,Atlanta,12,1
96,Los Angeles Sports Arena,Los Angeles,6,1
97,Riverport Amphitheatre,Maryland Heights,27,1
98,Avalon Ballroom,San Francisco,6,1
99,Thelma Theater,Los Angeles,6,1
100,Fox Theatre,St. Louis,27,1
101,Ohio Theatre,Columbus,37,1
102,Hofheinz Pavilion,Houston,45,1
103,P.N.E. Coliseum,Vancouver,58,2
104,College Of William and Mary,Williamsburg,48,1
105,Parc des Expositions,Dijon,0,6
106,Beacon Theatre,New York,34,1
107,Springfield Civic Center Arena,Springfield,23,1
108,Memorial Coliseum - U. of Alabama,Tuscaloosa,2,1
109,The Centrum,Worcester,23,1
