1,1,"01-02-72 Winterland Arena/, San Francisco/, Ca. (Sun)"
1,2,"1: Truckin/, Sugaree/, Mr. Charlie/, BIODTL/, Loser/, Jack Straw/, Chinatown Shuffle/, Your Love At Home/, Tennessee Jed/, El Paso/, You Win Again/, Big RxR Blues/, Mexicali/, Playin/, Next Time/, B. E. Women/, Casey Jones"
1,3,"2: Good Lovin> China Cat> I Know You Rider> Good Lovin/, Ramble On/, Sugar Magnolia/, NFA> GDTRFB> NFA E: Saturday Night"
1,4,"only /""Your Love At Home/"" - billing: GD; NRPS; Yogi Phlegm"
2,1,"05-08-77 Barton Hall/, Cornell University/, Ithaca/, N.Y. (Sun)"
2,2,"1: Minglewood/, Loser/, El Paso/, TLEO/, Jack Straw/, Deal/, Lazy Lightning> Supplication/, B. E. Women/, Mama Tried/, Row Jimmy/, Dancin"
2,3,"2: Scarlet> Fire/, Estimated/, St. Stephen> NFA> St. Stephen> Morning Dew E: Saturday Night"
2,4,"General Admission: $7.50"
3,1,"08-27-72 Old Renaissance Faire Grounds/, Veneta/, Or. (Sun)"
3,2,"1: Promised/, Sugaree/, Me & My Uncle/, Deal/, B. T. Wind/, China Cat> I Know You Rider/, Mexicali/, Bertha"
3,3,"2: Playin/, He's Gone/, Jack Straw/, Bird Song/, Greatest"
3,4,"3: Dark Star> El Paso/, Sing Me Back Home/, Sugar Magnolia/, Casey Jones/, Saturday Night"
3,5,"Springfield Creamery benefit - /""Field Trip/"" - also: NRPS"
4,1,"02-13-70b Fillmore East/, New York/, N.Y. (Fri)"
4,2,"Electric-1: China Cat> I Know You Rider/, Me & My Uncle/, Dire Wolf/, Smokestack*"
4,3,"Acoustic: Monkey & Engineer/, Sadie/, Wake Up Little Susie*> Black Peter*/, Uncle John/, Katie Mae*"
4,4,"Electric-2: Dark Star**> Cryptical**> Drums**> Other One**> Cryptical**> Lovelight** E: We Bid You Goodnight"
4,5,"*appears on /""Bear's Choice/"" **appears on /""Dick's Picks Vol 4/""11:30 show - first /""Wake Up Little Susie/"" - Bear's Choice shows - billing: GD; Allman Brothers Band; Love"
5,1,"05-02-70 Harpur College/, S.U.N.Y./, Binghamton/, N.Y. (Sat)"
5,2,"Acoustic: Don't Ease*/, I Know You Rider*/, FOTD*/, Dire Wolf*/, BIODTL*> Black Peter*/, Candyman*> Cumberland*/, Deep Elem*/, Cold Jordan**/, Uncle John*"
5,3,"Electric-1: St. Stephen*> Cryptical*> Drums*> Other One*> Cryptical*> Cosmic Charlie*/, Casey Jones*/, Good Lovin*/, Cold Rain/, It's A Man's World*/, Dancin*"
5,4,"Electric-2: Morning Dew*/, Viola Lee Blues*> Feedback*> We Bid You Goodnight*"
5,5,"*appears on /""Dick's Picks Vol 8/"" **also with members of NRPSalso: NRPS"
6,1,"03-29-90 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Thu)"
6,2,"1: Jack Straw> Bertha/, We Can Run/, Ramble On/, Masterpiece/, Bird Song*> Promised"
6,3,"2: Eyes*> Estimated*> Dark Star*> Drumz*> Dark Star*> Wheel*> Throwing Stones*> Lovelight* E: Heaven's Door*"
6,4,"*with Branford Marsalis /""Eyes/"" appears on /""Without A Net/"""
7,1,"10-09-89 Hampton Coliseum/, Hampton/, Va. (Mon)"
7,2,"1: Stranger/, Built To Last/, Rooster/, Ramble On/, We Can Run/, Jack A Roe/, Memphis Blues/, Row Jimmy/, Music"
7,3,"2: Playin> Uncle John> Playin> Dark Star> Drumz> Death Don't> Mr. Fantasy> Hey Jude Finale> Throwing Stones> Good Lovin E: Attics"
7,4,"/""Stranger/"" appears on /""Without A Net/"" - last /""Dark Star/"": 07-13-84 [359] - last /""Attics/"": 10-28-72 [1082] - Show billed as /""Formerly The Warlocks/"""
8,1,"03-01-69 Fillmore West/, San Francisco/, Ca. (Sat)"
8,2,"1: Cryptical> Other One> Cryptical> New Potato Caboose> Doin That Rag> Cosmic Charlie"
8,3,"2: Dupree's> Mountains Of The Moon/, Dark Star> St. Stephen> The Eleven> Lovelight E: Hey Jude"
8,4,"billing: GD; Pentangle; Sir Douglas Quintet"
9,1,"12-31-78 Winterland Arena/, San Francisco/, Ca. (Sun)"
9,2,"1: Sugar Magnolia> Scarlet> Fire/, Me & My Uncle> Big River/, FOTD/, All Over Now/, Stagger Lee/, Heart Of Me> Sunshine Daydream"
9,3,"2: Samson/, Ramble On/, Miracle*> Terrapin> Playin> Drumz**> NFA***> Around***"
9,4,"3: Dark Star> Other One> Dark Star> Wharf Rat> St. Stephen> Good Lovin"
9,5,"E1: Casey Jones> Johnny B. Goode E2: We Bid You Goodnight"
